age,sex,healthy_sbp,healthy_total_cholesterol,healthy_hdl_c,healthy_non_hdl_c,prevalence_anti_htn_meds,prevalence_statin,prevalence_family_history_mi
60,female,122.84954303022386,209.59579174097718,55,154.59579174097718,0.11709278634496756,0.10051135670477747,0.2039647734871422
61,female,123.405667765998,209.17290949861447,55,154.17290949861447,0.11709278634496756,0.10051135670477747,0.2039647734871422
62,female,123.96179250177214,208.75002725625177,55,153.75002725625177,0.11709278634496756,0.10051135670477747,0.2039647734871422
63,female,124.51791723754627,208.32714501388904,55,153.32714501388904,0.11709278634496756,0.10051135670477747,0.2039647734871422
64,female,125.07404197332042,207.9042627715263,55,152.9042627715263,0.11709278634496756,0.10051135670477747,0.2039647734871422
65,female,125.63016670909454,207.4813805291636,55,152.4813805291636,0.11709278634496756,0.10051135670477747,0.2039647734871422
66,female,126.18629144486869,207.05849828680087,55,152.05849828680087,0.11709278634496756,0.10051135670477747,0.2039647734871422
67,female,126.74241618064282,206.63561604443817,55,151.63561604443817,0.11709278634496756,0.10051135670477747,0.2039647734871422
68,female,127.29854091641695,206.21273380207543,55,151.21273380207543,0.11709278634496756,0.10051135670477747,0.2039647734871422
69,female,127.8546656521911,205.7898515597127,55,150.7898515597127,0.11709278634496756,0.10051135670477747,0.2039647734871422
70,female,128.41079038796522,205.36696931735,55,150.36696931735,0.11709278634496756,0.10051135670477747,0.2039647734871422
71,female,128.96691512373937,204.94408707498727,55,149.94408707498727,0.11709278634496756,0.10051135670477747,0.2039647734871422
72,female,129.52303985951352,204.52120483262456,55,149.52120483262456,0.11709278634496756,0.10051135670477747,0.2039647734871422
73,female,130.07916459528764,204.09832259026183,55,149.09832259026183,0.11709278634496756,0.10051135670477747,0.2039647734871422
74,female,130.63528933106178,203.6754403478991,55,148.6754403478991,0.11709278634496756,0.10051135670477747,0.2039647734871422
75,female,131.19141406683593,203.2525581055364,55,148.2525581055364,0.11709278634496756,0.10051135670477747,0.2039647734871422
76,female,131.74753880261005,202.8296758631737,55,147.8296758631737,0.11709278634496756,0.10051135670477747,0.2039647734871422
77,female,132.3036635383842,202.40679362081096,55,147.40679362081096,0.11709278634496756,0.10051135670477747,0.2039647734871422
78,female,132.85978827415835,201.98391137844823,55,146.98391137844823,0.11709278634496756,0.10051135670477747,0.2039647734871422
79,female,133.41591300993247,201.56102913608552,55,146.56102913608552,0.11709278634496756,0.10051135670477747,0.2039647734871422
